;name;link;level;name_clean
137;Déménagement & entreposage;home_services/moving_storage;1;demenagement  entreposage
138;Gardiennage de maison et sécurité;home_services/house_sitting_security;1;gardiennage de maison et securite
139;Plomberie & assainissement;home_services/plumbing_sanitation;1;plomberie  assainissement
140;Prestataires de service de nettoyage;home_services/cleaning_service_providers;1;prestataires de service de nettoyage
141;Prestataires de services de réparation;home_services/repair_service_providers;1;prestataires de services de reparation
142;Services à domicile;home_services/house_services;1;services a domicile
143;Administration & services;business_services/administration_services;1;administration  services
144;Associations & centres;business_services/associations_centers;1;associations  centres
145;Commerce de gros;business_services/wholesale;1;commerce de gros
146;Import & export;business_services/import_export;1;import  export
147;Impression & design graphique;business_services/print_graphic_design;1;impression  design graphique
148;Impression & design graphique;business_services/research_development;1;impression  design graphique
149;Informatique & communication;business_services/it_communication;1;informatique  communication
150;Locaux & fournitures de bureau;business_services/office_space_supplies;1;locaux  fournitures de bureau
151;Ressources humaines & recrutement;business_services/hr_recruiting;1;ressources humaines  recrutement
152;Transport & logistique;business_services/shipping_logistics;1;transport  logistique
153;Ventes & marketing;business_services/sales_marketing;1;ventes  marketing
154;Avocats & juristes;legal_services_government/lawyers_attorneys;1;avocats  juristes
155;Bibliothèques & archives;legal_services_government/libraries_archives;1;bibliotheques  archives
156;Département gouvernemental;legal_services_government/government_department;1;departement gouvernemental
157;Département municipal;legal_services_government/municipal_department;1;departement municipal
158;Douane & péage;legal_services_government/customs_toll;1;douane  peage
159;Maintien de l'ordre public;legal_services_government/law_enforcement;1;maintien de lordre public
160;Prestataires de services juridiques;legal_services_government/legal_service_providers;1;prestataires de services juridiques
161;Services d'enregistrement;legal_services_government/registration_services;1;services denregistrement
162;Emploi & carrière;public_local_services/employment_career;1;emploi  carriere
163;Enfants & famille;public_local_services/kids_family;1;enfants  famille
164;Funérailles & mémorial;public_local_services/funeral_memorial;1;funerailles  memorial
165;Gestion des déchets;public_local_services/waste_management;1;gestion des dechets
166;Militaire & ancien combattant;public_local_services/military_veteran;1;militaire  ancien combattant
167;Nature & environnement;public_local_services/nature_environment;1;nature  environnement
168;Organisations professionnelles;public_local_services/professional_organizations;1;organisations professionnelles
169;Refuges & centres d'accueil;public_local_services/shelters_homes;1;refuges  centres daccueil
170;Services publics et bien-être;public_local_services/public_services_welfare;1;services publics et bienetre
171;Sociétés de logement;public_local_services/housing_associations;1;societes de logement
172;Accessoires;shopping_fashion/accessories;1;accessoires
173;Bijoux & montres;shopping_fashion/jewelry_watches;1;bijoux  montres
174;Centres commerciaux & marchés;shopping_fashion/malls_marketplaces;1;centres commerciaux  marches
175;Costume & mariage;shopping_fashion/costume_wedding;1;costume  mariage
176;Location & Réparation de vêtements;shopping_fashion/clothing_rental_repair;1;location  reparation de vetements
177;Vêtements & sous-vêtements;shopping_fashion/clothing_underwear;1;vetements  sousvetements
178;Arts martiaux & lutte;sports/martial_arts_wrestling;1;arts martiaux  lutte
179;Danse & gymnastique;sports/dancing_gymnastics;1;danse  gymnastique
180;Équipement & associations sportives;sports/equipment_associations;1;equipement  associations sportives
181;Fitness & haltérophilie;sports/fitness_weight_lifting;1;fitness  halterophilie
182;Golf & utimate;sports/golf_ultimate;1;golf  utimate
183;Jeux de balle;sports/ball_games;1;jeux de balle
184;Natation & sports aquatiques;sports/swimming_water_sports;1;natation  sports aquatiques
185;Sports de tir & sports de cible;sports/shooting_target_sports;1;sports de tir  sports de cible
186;Sports en extérieur & sports d'hiver;sports/outdoor_winter_sports;1;sports en exterieur  sports dhiver
187;Sports extrêmes;sports/extreme_sports;1;sports extremes
188;Tennis & sports de raquette;sports/tennis_racquet_sports;1;tennis  sports de raquette
189;Activités & excursions;travel_vacation/activities_tours;1;activites  excursions
190;Agences de voyage;travel_vacation/travel_agencies;1;agences de voyage
191;Compagnies aériennes & aéroports;travel_vacation/airlines_air_travel;1;compagnies aeriennes  aeroports
192;Hébergements & logements de vacances;travel_vacation/accomodations_lodging;1;hebergements  logements de vacances
193;Hôtels;travel_vacation/hotels;1;hotels
194;Aéroports & parking;vehicles_transportation/airports_parking;1;aeroports  parking
195;Autres véhicules & remorques;vehicles_transportation/other_vehicles_trailers;1;autres vehicules  remorques
196;Location de véhicules;vehicles_transportation/vehical_rental;1;location de vehicules
197;Motos & sports motorisés;vehicles_transportation/motorcycle_powersports;1;motos  sports motorises
198;Pièces automobiles détachées & roues;vehicles_transportation/auto_parts_wheels;1;pieces automobiles detachees  roues
199;Réparation de véhicules & carburant;vehicles_transportation/vehicle_repair_fuel;1;reparation de vehicules  carburant
200;Taxis & transports publics;vehicles_transportation/taxis_public_transport;1;taxis  transports publics
201;Transport aérien & nautique;vehicles_transportation/air_water_transport;1;transport aerien  nautique
202;Vélos;vehicles_transportation/bicycles;1;velos
203;Voitures & camions;vehicles_transportation/cars_trucks;1;voitures  camions
204;Agriculteur;food_beverages_tobacco/agriculture_produce/crop_grower;2;agriculteur
205;Coopérative agricole;food_beverages_tobacco/agriculture_produce/agricultural_cooperative;2;cooperative agricole
206;Ferme;food_beverages_tobacco/agriculture_produce/farm;2;ferme
207;Fournisseur de services agricoles;food_beverages_tobacco/agriculture_produce/agricultural_service_supply_agency;2;fournisseur de services agricoles
208;Grossiste de produits;food_beverages_tobacco/agriculture_produce/produce_wholesaler;2;grossiste de produits
209;Magasin de produits de la ferme;food_beverages_tobacco/agriculture_produce/farm_shop;2;magasin de produits de la ferme
210;Marché alimentaire;food_beverages_tobacco/agriculture_produce/produce_market;2;marche alimentaire
211;Miellerie;food_beverages_tobacco/agriculture_produce/honey_farm;2;miellerie
212;Production agricole;food_beverages_tobacco/agriculture_produce/agricultural_production;2;production agricole
213;Produits laitiers;food_beverages_tobacco/agriculture_produce/dairy;2;produits laitiers
214;Service agricole;food_beverages_tobacco/agriculture_produce/agricultural_service;2;service agricole
215;Vignoble;food_beverages_tobacco/agriculture_produce/vineyard;2;vignoble
216;Bar à bières;food_beverages_tobacco/beer_wine/beer_hall;2;bar a bieres
217;Brasserie;food_beverages_tobacco/beer_wine/brewery;2;brasserie
218;Cave à vins;food_beverages_tobacco/beer_wine/wine_cellar;2;cave a vins
219;Caviste;food_beverages_tobacco/beer_wine/wine_store;2;caviste
220;Club d'œnologie;food_beverages_tobacco/beer_wine/wine_club;2;club doenologie
221;Exploitation viticole;food_beverages_tobacco/beer_wine/winery;2;exploitation viticole
222;Fournisseur de bières;food_beverages_tobacco/beer_wine/beer_distributor;2;fournisseur de bieres
223;Grossiste en vins;food_beverages_tobacco/beer_wine/wine_wholesaler;2;grossiste en vins
224;Microbrasserie;food_beverages_tobacco/beer_wine/brewpub;2;microbrasserie
225;Boutique de boissons non alcoolisées;food_beverages_tobacco/beverages_liquor/soft_drinks_shop;2;boutique de boissons non alcoolisees
226;Distillerie;food_beverages_tobacco/beverages_liquor/distillery;2;distillerie
227;Distributeur de boissons;food_beverages_tobacco/beverages_liquor/beverage_distributor;2;distributeur de boissons
228;Fabricant d'alcool;food_beverages_tobacco/beverages_liquor/alcohol_manufacturer;2;fabricant dalcool
229;Fontaine à eau potable;food_beverages_tobacco/beverages_liquor/drinking_water_fountain;2;fontaine a eau potable
230;Grossiste en vins et spiritueux;food_beverages_tobacco/beverages_liquor/liquor_wholesaler;2;grossiste en vins et spiritueux
231;Magasin d'alcool;food_beverages_tobacco/beverages_liquor/alcohol_store;2;magasin dalcool
232;Magasin de liqueurs;food_beverages_tobacco/beverages_liquor/state_liquor_store;2;magasin de liqueurs
233;Magasin de vins et spiritueux;food_beverages_tobacco/beverages_liquor/liquor_store;2;magasin de vins et spiritueux
234;Traiteur;food_beverages_tobacco/beverages_liquor/catering_food_and_drink_supplies;2;traiteur
235;Vente en gros d'eau minérale;food_beverages_tobacco/beverages_liquor/mineral_water_wholesale;2;vente en gros deau minerale
236;Artisan chocolatier;food_beverages_tobacco/candy_chocolate/chocolate_artisan;2;artisan chocolatier
237;Confiserie;food_beverages_tobacco/candy_chocolate/confectionery;2;confiserie
238;Magasin de bonbons;food_beverages_tobacco/candy_chocolate/candy_store;2;magasin de bonbons
239;Boulangerie;food_beverages_tobacco/bakery_pastry/bakery;2;boulangerie
240;Grossiste en boulangerie;food_beverages_tobacco/bakery_pastry/wholesale_bakery;2;grossiste en boulangerie
241;Magasin de cookies;food_beverages_tobacco/bakery_pastry/cookie_shop;2;magasin de cookies
242;Magasin de gâteaux;food_beverages_tobacco/bakery_pastry/cake_shop;2;magasin de gateaux
243;Magasin de matériel de décoration de gâteaux;food_beverages_tobacco/bakery_pastry/cake_decorating_equipment_shop;2;magasin de materiel de decoration de gateaux
244;Magasin de pâtisseries;food_beverages_tobacco/bakery_pastry/pastry_shop;2;magasin de patisseries
245;Pâtisserie;food_beverages_tobacco/bakery_pastry/patisserie;2;patisserie
246;Boutique de café;food_beverages_tobacco/coffee_tea/coffee_store;2;boutique de cafe
247;Distributeur de café;food_beverages_tobacco/coffee_tea/coffee_vending_machine;2;distributeur de cafe
248;Fabricant de thé;food_beverages_tobacco/coffee_tea/tea_manufacturer;2;fabricant de the
249;Fournisseur de machine à café;food_beverages_tobacco/coffee_tea/coffee_machine_supplier;2;fournisseur de machine a cafe
250;Grossiste de thé;food_beverages_tobacco/coffee_tea/tea_wholesaler;2;grossiste de the
251;Magasin de café;food_beverages_tobacco/coffee_tea/coffee_shop;2;magasin de cafe
252;Magasin de thé;food_beverages_tobacco/coffee_tea/tea_store;2;magasin de the
253;Marchand de thé;food_beverages_tobacco/coffee_tea/tea_market_place;2;marchand de the
254;Salon de thé;food_beverages_tobacco/coffee_tea/tea_house;2;salon de the
255;Salon de thé traditionnel;food_beverages_tobacco/coffee_tea/traditional_teahouse;2;salon de the traditionnel
256;Torréfacteurs;food_beverages_tobacco/coffee_tea/coffee_roasters;2;torrefacteurs
257;Fournisseur de paniers-repas;food_beverages_tobacco/lunch_catering/box_lunch_supplier;2;fournisseur de paniersrepas
258;Livraison de repas à domicile;food_beverages_tobacco/lunch_catering/meal_delivery;2;livraison de repas a domicile
259;Service de traiteur;food_beverages_tobacco/lunch_catering/catering_service;2;service de traiteur
260;Traiteur mobile;food_beverages_tobacco/lunch_catering/mobile_catering;2;traiteur mobile
