name;link;level
Service de traiteur;food_beverages_tobacco/lunch_catering/catering_service;2
Traiteur mobile;food_beverages_tobacco/lunch_catering/mobile_catering;2
Boutique de produits diététiques;food_beverages_tobacco/grocery_stores_markets/health_food_store;2
Épicerie;food_beverages_tobacco/grocery_stores_markets/grocery_store;2
Épicerie fine;food_beverages_tobacco/grocery_stores_markets/deli;2
Ferme bio;food_beverages_tobacco/grocery_stores_markets/organic_farm;2
Kiosque;food_beverages_tobacco/grocery_stores_markets/kiosk;2
Magasin bio;food_beverages_tobacco/grocery_stores_markets/organic_store;2
Magasin d'alimentation bio;food_beverages_tobacco/grocery_stores_markets/organic_food_store;2
Magasin d'alimentation naturelle;food_beverages_tobacco/grocery_stores_markets/natural_foods_store;2
Magasin d'épices;food_beverages_tobacco/grocery_stores_markets/spice_store;2
Magasin de produits gourmets;food_beverages_tobacco/grocery_stores_markets/gourmet_grocery_store;2
Magasin de produits surgelés;food_beverages_tobacco/grocery_stores_markets/frozen_food_store;2
Service de livraison des courses;food_beverages_tobacco/grocery_stores_markets/grocery_delivery_service;2
Supérette;food_beverages_tobacco/grocery_stores_markets/convenience_store;2
Supermarché;food_beverages_tobacco/grocery_stores_markets/supermarket;2
Boutique de confiseries japonaises bon marché;food_beverages_tobacco/asian_grocery_stores/japanese_cheap_sweets_shop;2
Épicerie asiatique;food_beverages_tobacco/asian_grocery_stores/asian_grocery_store;2
Épicerie japonaise;food_beverages_tobacco/asian_grocery_stores/japanese_grocery_store;2
Épicerie japonaise spécialisée;food_beverages_tobacco/asian_grocery_stores/japanese_delicatessen;2
Magasin d'articles orientaux;food_beverages_tobacco/asian_grocery_stores/oriental_goods_store;2
Magasin de fruits secs;food_beverages_tobacco/fruits_vegetables/dry_fruit_store;2
Marchand de légumes;food_beverages_tobacco/fruits_vegetables/green_grocers;2
Primeur;food_beverages_tobacco/fruits_vegetables/fruit_and_vegetable_store;2
Conserverie;food_beverages_tobacco/food_production/cannery;2
Consultant en aliments et boissons;food_beverages_tobacco/food_production/food_and_beverage_consultant;2
Entreprise d'embouteillage d'huile d'olive;food_beverages_tobacco/food_production/olive_oil_bottling_company;2
Entreprise de transformation alimentaire;food_beverages_tobacco/food_production/food_processing_company;2
Équipement de transformation des aliments;food_beverages_tobacco/food_production/food_processing_equipment;2
Fabricant d'huile d'olive;food_beverages_tobacco/food_production/olive_oil_manufacturer;2
Fabricant de produits alimentaires;food_beverages_tobacco/food_production/food_manufacturer;2
Fabricant de produits surgelés;food_beverages_tobacco/food_production/frozen_food_manufacturer;2
Fabrication d'aliments;food_beverages_tobacco/food_production/food_manufacturing_supply;2
Fournisseur d'engrais;food_beverages_tobacco/food_production/fertilizer_supplier;2
Fournisseur de matériel agricole;food_beverages_tobacco/food_production/farm_equipment_supplier;2
Fournisseur de produits alimentaires;food_beverages_tobacco/food_production/food_products_supplier;2
Packaging d'aliments de base;food_beverages_tobacco/food_production/staple_food_package;2
Producteur de produits alimentaires;food_beverages_tobacco/food_production/food_producer;2
Boutique de cigares;food_beverages_tobacco/smoking_tobacco/cigar_shop;2
Bureau de tabac;food_beverages_tobacco/smoking_tobacco/tobacco_shop;2
Fournisseur de tabac;food_beverages_tobacco/smoking_tobacco/tobacco_supplier;2
Magasin de cannabis;food_beverages_tobacco/smoking_tobacco/cannabis_store;2
Magasin de cigarettes électroniques;food_beverages_tobacco/smoking_tobacco/electronic_cigarette_store;2
Magasin de narguilés;food_beverages_tobacco/smoking_tobacco/hookah_store;2
Magasin de vaporiseurs;food_beverages_tobacco/smoking_tobacco/vaporizer_store;2
Boucherie;food_beverages_tobacco/meat_seafood_eggs/butcher_shop;2
Boucherie-charcuterie;food_beverages_tobacco/meat_seafood_eggs/butcher_shop_deli;2
Charcuterie;food_beverages_tobacco/meat_seafood_eggs/charcuterie;2
Charcutier;food_beverages_tobacco/meat_seafood_eggs/ham_shop;2
Ferme d'élevage;food_beverages_tobacco/meat_seafood_eggs/cattle_farm;2
Fournisseur d'huîtres;food_beverages_tobacco/meat_seafood_eggs/oyster_supplier;2
Magasin de fruits de mer séchés;food_beverages_tobacco/meat_seafood_eggs/dried_seafood_store;2
Marché aux poissons et fruits de mer;food_beverages_tobacco/meat_seafood_eggs/seafood_market;2
Mareyeur;food_beverages_tobacco/meat_seafood_eggs/seafood_wholesaler;2
Poissonnerie;food_beverages_tobacco/meat_seafood_eggs/fish_store;2
Transformateur de viande;food_beverages_tobacco/meat_seafood_eggs/meat_processor;2
Vendeur de viande en gros;food_beverages_tobacco/meat_seafood_eggs/meat_wholesaler;2
Animalerie;animals_pets/pet_stores/pet_store;2
Magasin d'alimentation animale;animals_pets/pet_stores/feed_store;2
Magasin d'aquariophilie;animals_pets/pet_stores/aquarium_shop;2
Magasin d'articles pour animaux;animals_pets/pet_stores/pet_supply_store;2
Oisellerie;animals_pets/pet_stores/bird_shop;2
Café à chiens;animals_pets/cats_dogs/dog_cafe;2
Dresseur de chiens;animals_pets/cats_dogs/dog_trainer;2
Éleveur de chiens;animals_pets/cats_dogs/dog_breeder;2
Hôtel pour chiens;animals_pets/cats_dogs/dog_hostel;2
Pension pour chats;animals_pets/cats_dogs/cat_hostel;2
Pension pour chiens;animals_pets/cats_dogs/dog_day_care_center;2
Promeneur de chien;animals_pets/cats_dogs/dog_walker;2
Centre de randonnée équestre;animals_pets/horses_riding/horseback_riding_service;2
Club d'équitation;animals_pets/horses_riding/pony_club;2
École d'équitation;animals_pets/horses_riding/horse_riding_school;2
Éleveur de chevaux;animals_pets/horses_riding/horse_breeder;2
Fournisseur de transports pour chevaux;animals_pets/horses_riding/horsebox_specialist;2
Haras;animals_pets/horses_riding/horsestable_studfarm;2
Maréchal-ferrant;animals_pets/horses_riding/horseshoe_smith;2
Pension pour chevaux;animals_pets/horses_riding/horse_boarding_stable;2
Sellerie-bourrellerie;animals_pets/horses_riding/saddlery;2
Aquarium;animals_pets/animal_parks_zoo/aquarium;2
Parc animalier;animals_pets/animal_parks_zoo/animal_park;2
Parc animalier et safari;animals_pets/animal_parks_zoo/wildlife_and_safari_park;2
Zoo;animals_pets/animal_parks_zoo/zoo;2
Urgences vétérinaires;animals_pets/animal_health/emergency_veterinarian_service;2
Vétérinaire;animals_pets/animal_health/veterinarian;2
Dresseur d'animaux de compagnie;animals_pets/pet_services/pet_trainer;2
Garde d'animaux de compagnie;animals_pets/pet_services/pet_sitter;2
Service d'adoption d'animaux de compagnie;animals_pets/pet_services/pet_adoption_service;2
Service d'assistance;animals_pets/pet_services/agistment_service;2
Service de sauvetage d'animaux;animals_pets/pet_services/wildlife_rescue_service;2
Toiletteur;animals_pets/pet_services/pet_groomer;2
Agence d'assurance;money_insurance/insurance/insurance_agency;2
Agence d'assurance dentaire;money_insurance/insurance/dental_insurance_agency;2
Agence d'assurance pour locataires;money_insurance/insurance/renters_insurance_agency;2
Assurance auto;money_insurance/insurance/auto_insurance_agency;2
Compagnie d'assurance;money_insurance/insurance/insurance_company;2
Compagnie d'assurance accidents;money_insurance/insurance/accident_insurance_company;2
Compagnie d'assurance animaux;money_insurance/insurance/pet_insurance_company;2
Compagnie d'assurance de mobilité;money_insurance/insurance/mobility_insurance_company;2
Compagnie d'assurance de vélos;money_insurance/insurance/cycle_insurance_company;2
Compagnie d'assurance étudiant;money_insurance/insurance/student_insurance_company;2
Compagnie d'assurance funérailles;money_insurance/insurance/funeral_insurance_company;2
Compagnie d'assurance habitation;money_insurance/insurance/home_insurance_agency;2
Compagnie d'assurance personnelle;money_insurance/insurance/personal_insurance_company;2
Compagnie d'assurance propriétaire;money_insurance/insurance/landlord_insurance_company;2
Compagnie d'assurance sportive;money_insurance/insurance/sport_insurance_company;2
Compagnie d'assurance vie;money_insurance/insurance/life_insurance_agency;2
Compagnie d'assurance voyage;money_insurance/insurance/travel_insurance_company;2
Courtier d'assurances;money_insurance/insurance/insurance_broker;2
Mutuelle de santé;money_insurance/insurance/health_insurance_agency;2
Agent Mobile Money;money_insurance/banking_money/mobile_money_agent;2
Banque;money_insurance/banking_money/bank;2
Banque d'épargne;money_insurance/banking_money/savings_bank;2
Banque du secteur privé;money_insurance/banking_money/private_sector_bank;2
Bureau de change;money_insurance/banking_money/currency_exchange_service;2
Institution financière;money_insurance/banking_money/financial_institution;2
Service de crypto-monnaie;money_insurance/banking_money/cryptocurrency_service;2
Service de remise en espèces;money_insurance/banking_money/cashback_provider;2
Service de transfert d'argent;money_insurance/banking_money/money_transfer_service;2
Cabinet d'expertise comptable;money_insurance/accounting_tax/accounting_firm;2
Comptable;money_insurance/accounting_tax/accountant;2
Comptable agréé;money_insurance/accounting_tax/chartered_accountant;2
Conseil en déclaration fiscale;money_insurance/accounting_tax/tax_preparation;2
Conseiller fiscal;money_insurance/accounting_tax/tax_advisor;2
Consultant fiscal;money_insurance/accounting_tax/tax_consultant;2
Expert-comptable;money_insurance/accounting_tax/certified_public_accountant;2
Logiciel de préparation de déclaration des taxes;money_insurance/accounting_tax/tax_preparation_software;2
Service d'accompagnement des personnes surendettées et des entreprises en difficulté;money_insurance/accounting_tax/bankruptcy_service;2
Service de paiement et de comptabilité;money_insurance/accounting_tax/bookkeeping_service;2
Service de préparation des déclarations fiscales;money_insurance/accounting_tax/tax_preparation_service;2
Administration immobilière;money_insurance/real_estate/property_administrator;2
Agence de location d'appartements;money_insurance/real_estate/apartment_rental_agency;2
Agence de location d'appartements courte durée;money_insurance/real_estate/short_term_apartment_rental_agency;2
Agence de location immobilière;money_insurance/real_estate/real_estate_rental_agency;2
Agence immobilière;money_insurance/real_estate/real_estate_agency;2
Agents immobiliers;money_insurance/real_estate/real_estate_agents;2
